feature,importance
EMA_26,0.07872616
EMA_12,0.076079935
BB_upper,0.072396986
SMA_50,0.070086144
BB_lower,0.067681335
Low,0.066940576
Open,0.066185236
High,0.05949031
SMA_20,0.059232734
Close_lag1,0.05086488
Close_lag3,0.050798573
MACD_signal,0.049285274
MACD,0.049246963
Close_lag2,0.047642063
Close,0.046956412
RSI,0.045187075
MACD_hist,0.04319929
BB_middle,0.0
FVG_Size,0.0
FVG_Type,0.0
OB_Type,0.0
