Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2025-07-21 04:00:00+00:00,3361.10009765625,3361.10009765625,3357.10009765625,3358.300048828125,18323
2025-07-21 04:30:00+00:00,3364.10009765625,3365.0,3360.89990234375,3361.10009765625,1518
2025-07-21 05:00:00+00:00,3374.199951171875,3375.699951171875,3363.699951171875,3363.89990234375,6640
2025-07-21 05:30:00+00:00,3374.0,3376.89990234375,3372.0,3374.10009765625,5399
2025-07-21 06:00:00+00:00,3377.199951171875,3377.5,3372.60009765625,3374.0,3249
2025-07-21 06:30:00+00:00,3375.60009765625,3378.300048828125,3374.699951171875,3377.199951171875,3199
2025-07-21 07:00:00+00:00,3373.699951171875,3378.199951171875,3372.199951171875,3375.60009765625,2901
2025-07-21 07:30:00+00:00,3372.10009765625,3375.0,3371.39990234375,3373.60009765625,2549
2025-07-21 08:00:00+00:00,3373.199951171875,3373.699951171875,3370.5,3372.10009765625,2820
2025-07-21 08:30:00+00:00,3373.5,3374.5,3371.699951171875,3373.0,2328
2025-07-21 09:00:00+00:00,3372.39990234375,3374.10009765625,3371.699951171875,3373.60009765625,1529
2025-07-21 09:30:00+00:00,3373.699951171875,3374.39990234375,3370.39990234375,3372.300048828125,1924
2025-07-21 10:00:00+00:00,3373.0,3375.800048828125,3372.39990234375,3373.89990234375,1774
2025-07-21 10:30:00+00:00,3373.10009765625,3373.300048828125,3370.300048828125,3373.199951171875,1684
2025-07-21 11:00:00+00:00,3381.199951171875,3381.5,3372.300048828125,3373.300048828125,4575
2025-07-21 11:30:00+00:00,3383.10009765625,3383.39990234375,3378.300048828125,3381.199951171875,4154
2025-07-21 12:00:00+00:00,3389.5,3391.39990234375,3382.199951171875,3382.89990234375,9673
2025-07-21 12:30:00+00:00,3395.39990234375,3397.10009765625,3389.60009765625,3389.60009765625,12439
2025-07-21 13:00:00+00:00,3395.800048828125,3398.39990234375,3393.39990234375,3395.39990234375,9897
2025-07-21 13:30:00+00:00,3400.89990234375,3405.699951171875,3392.699951171875,3395.800048828125,17613
2025-07-21 14:00:00+00:00,3412.699951171875,3413.39990234375,3399.0,3400.300048828125,14395
2025-07-21 14:30:00+00:00,3413.699951171875,3416.5,3410.699951171875,3411.800048828125,13002
2025-07-21 15:00:00+00:00,3416.0,3416.89990234375,3410.10009765625,3413.800048828125,10336
2025-07-21 15:30:00+00:00,3411.10009765625,3416.800048828125,3410.800048828125,3416.0,6782
2025-07-21 16:00:00+00:00,3410.5,3412.199951171875,3408.5,3411.199951171875,4450
2025-07-21 16:30:00+00:00,3409.800048828125,3413.10009765625,3407.800048828125,3410.5,4020
2025-07-21 17:00:00+00:00,3407.300048828125,3410.10009765625,3406.199951171875,3410.0,3556
2025-07-21 17:30:00+00:00,3407.60009765625,3408.10009765625,3405.699951171875,3405.699951171875,3851
2025-07-21 18:00:00+00:00,3407.5,3409.300048828125,3407.0,3407.5,2265
2025-07-21 18:30:00+00:00,3408.199951171875,3408.699951171875,3406.199951171875,3407.5,1659
2025-07-21 19:00:00+00:00,3411.10009765625,3412.10009765625,3407.89990234375,3408.300048828125,2545
2025-07-21 19:30:00+00:00,3409.800048828125,3412.39990234375,3409.199951171875,3411.10009765625,2201
2025-07-21 20:00:00+00:00,3410.60009765625,3410.800048828125,3409.39990234375,3409.89990234375,1076
2025-07-21 20:30:00+00:00,3410.300048828125,3411.5,3410.0,3410.699951171875,1020
2025-07-21 22:00:00+00:00,3413.699951171875,3413.89990234375,3410.5,3410.699951171875,614
2025-07-21 22:30:00+00:00,3412.89990234375,3414.800048828125,3412.699951171875,3413.800048828125,844
2025-07-21 23:00:00+00:00,3415.199951171875,3415.60009765625,3412.89990234375,3413.0,824
2025-07-21 23:30:00+00:00,3410.89990234375,3416.300048828125,3408.39990234375,3415.199951171875,2927
2025-07-22 00:00:00+00:00,3409.10009765625,3411.10009765625,3406.699951171875,3411.10009765625,2212
2025-07-22 00:30:00+00:00,3407.89990234375,3411.199951171875,3406.60009765625,3409.0,2475
2025-07-22 01:00:00+00:00,3404.199951171875,3409.0,3403.0,3408.199951171875,3846
2025-07-22 01:30:00+00:00,3400.89990234375,3405.60009765625,3399.60009765625,3404.199951171875,3866
