Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,FVG_Size,FVG_Type_Encoded,OB_Type_Encoded,Recovery_Type_Encoded,Close_lag1,Close_lag2,Close_lag3
2000-11-22,-2.1853086673700997,-2.1861367606216096,-2.1838486239516994,-2.185191918772993,-0.1895747492650999,-2.1855123664263627,-2.169745974771194,-2.1859607335835576,-2.1817936018000204,-0.4770906769666658,-0.3425058575152316,-0.411408237077342,0.11769678659717804,-2.204109438384572,-2.1855123664263627,-2.1605731275720044,0.2943656192796997,1,2,0,-2.1870544305801047,-2.1856438046522824,-2.187376383573657
2000-11-27,-2.175351126801915,-2.1762397738581245,-2.1738215350830963,-2.1752343826686733,-0.1895747492650999,-2.184828867131709,-2.169867450248269,-2.184165401125691,-2.181103572017772,0.5558085141805222,-0.30289973430081607,-0.39381220446963977,0.18721136269279726,-2.200287082226917,-2.184828867131709,-2.1632041967769524,0.14451846553263079,1,2,0,-2.1854819650682327,-2.187216553417008,-2.1858033536417905
2000-11-28,-2.1761372926185842,-2.177021158842519,-2.1746131918637257,-2.1760205481329122,0.882041804893333,-2.1841190818711302,-2.169999489511093,-2.182767496691149,-2.180523167169919,0.4518669322892226,-0.27360072374047084,-0.3734229386538698,0.21819256858512917,-2.1979800799165714,-2.1841190818711302,-2.164181919625927,-0.43822441768407394,2,2,0,-2.175522563589455,-2.1856438046522824,-2.187376383573657
2000-11-29,-2.1850466120978767,-2.1762397738581245,-2.1851679713928385,-2.1765445784743993,-0.08318237531760286,-2.1838430531555475,-2.170263568036741,-2.1829584291669364,-2.1806488452730335,-0.5163567930230227,-0.27595031189637537,-0.3576177421955857,0.16734826522413696,-2.197781861965403,-2.1838430531555475,-2.1638244362822134,-0.43822441768407394,2,2,0,-2.176308876328377,-2.175682609157119,-2.1858033536417905
2000-11-30,-2.175351126801915,-2.1759793121966595,-2.1841124290186653,-2.1849298636182466,-0.15932630317964094,-2.183159553860894,-2.1703586356612514,-2.1816249896962425,-2.1800436122705618,0.2547190926900535,-0.2498429991336791,-0.33934879309350635,0.19467503038815098,-2.195782269765573,-2.183159553860894,-2.1645316686459983,-0.43822441768407394,2,2,0,-2.1852198608219253,-2.176469063536876,-2.1758403773403616
2000-12-01,-2.1790196607089127,-2.171291320217252,-2.1780434630000567,-2.176282523319653,-0.17717662074612167,-2.182528630509378,-2.1703744797280673,-2.1810623652398564,-2.1797562477006673,-0.0698915011780989,-0.23997071192973718,-0.32260666034835633,0.17774031409694427,-2.1949714104465503,-2.182528630509378,-2.164092191962093,-0.43822441768407394,2,2,0,-2.175522563589455,-2.1853816531923633,-2.1766269723179903
2000-12-04,-2.1737788751366183,-2.171291320217252,-2.174085420676639,-2.172876046211968,-0.18445865406299142,-2.1817005443626303,-2.1703533521565697,-2.179778194182869,-2.1791001157542538,0.28206511341909124,-0.21744222234056118,-0.30435921574909536,0.19443651273502363,-2.1931457567181076,-2.1817005443626303,-2.164319001168937,-0.43822441768407394,2,2,0,-2.1791917830888,-2.175682609157119,-2.185541155315914
2000-12-05,-2.1745650409532873,-2.1738957778684207,-2.1743493062701824,-2.1731381013667144,-0.17437583870117176,-2.1809381831589136,-2.1704272938213895,-2.1788128109336857,-2.1785510977914324,0.21066255179720694,-0.20249699894482653,-0.2865413280608291,0.18967207306576703,-2.191774560854158,-2.1809381831589136,-2.164201087307871,-0.43822441768407394,2,2,0,-2.173950018094597,-2.179352489603803,-2.1758403773403616
2000-12-06,-2.1643455250809214,-2.1653010994122597,-2.172502187641957,-2.172876046211968,-0.18654990465655402,-2.179650054501244,-2.170416731647448,-2.176420147442427,-2.1772821444163433,0.7910275469075118,-0.16217750855102095,-0.26360022787287973,0.24649629412414445,-2.1880619056432984,-2.179650054501244,-2.1654750562736282,-0.17182665484778234,1,2,0,-2.174736330833519,-2.1741097803949994,-2.1795109138675426
2000-12-07,-2.1672278931712503,-2.160873489612577,-2.1672247978774006,-2.1642287858813796,-0.18823037388352395,-2.1784802187071692,-2.1704537016739547,-2.174840033477295,-2.1763217123286855,0.5307989906666435,-0.1399202385162531,-0.24045204327526887,0.24879317528475964,-2.185862761368114,-2.1784802187071692,-2.1653944472525892,-0.43822441768407394,2,2,0,-2.1645149050914205,-2.174896234774756,-2.1742672673967993
2000-12-08,-2.1698482859573973,-2.168686862566083,-2.1682802597249964,-2.168421348485298,-0.18509349799318006,-2.1775338356855394,-2.1707811580786736,-2.1739070660729753,-2.1756274501791095,0.30216766347617774,-0.13131844602482848,-0.2200802488277413,0.2179987845304441,-2.184468907582701,-2.1775338356855394,-2.1649226471803593,-0.12187929730366083,0,2,0,-2.167397811851843,-2.164672967817068,-2.175053862374428
2000-12-11,-2.1750890715296918,-2.1746770833710753,-2.176196344371831,-2.173662131708201,-0.18901459285610994,-2.1769554882771613,-2.171066362564012,-2.17392573632475,-2.1753746684963837,-0.11919981785818919,-0.14101003392208394,-0.20587085526552737,0.14964838325798788,-2.183953037320513,-2.1769554882771613,-2.1642797636726963,-0.12187421618895646,0,2,2,-2.1700186943489443,-2.167556393883995,-2.1648287677588187
2000-12-12,-2.1748270962255103,-2.175718930016935,-2.1754047681177786,-2.1747103523271862,-0.18725943610794132,-2.1761931270734447,-2.1712406553580244,-2.1739011388841876,-2.1751211134620982,-0.10135658397306468,-0.1491808815060825,-0.19626374057696902,0.09860210865878269,-2.1837018996658215,-2.1761931270734447,-2.1629796839925364,-0.43822441768407394,2,2,2,-2.1752604593431477,-2.170177748488397,-2.167712709308371
