timeframe,initial_value,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,winning_trades,losing_trades
15m,10000.0,9916.929950932781,-0.8307004906721887,,1.2735523371537472,1,0,0
30m,10000.0,10084.600853095353,0.8460085309535317,,0.457445801560923,1,0,0
