feature,importance
EMA_12,0.091139525
EMA_26,0.08567783
BB_lower,0.073295586
BB_upper,0.07089035
SMA_20,0.069189474
SMA_50,0.06832242
Low,0.065640725
MACD_signal,0.056973513
Close,0.05431369
Close_lag2,0.052818336
High,0.05223916
Open,0.05057921
Close_lag3,0.046518706
MACD,0.04331428
MACD_hist,0.042678677
RSI,0.038979385
Close_lag1,0.037429184
BB_middle,0.0
FVG_Size,0.0
FVG_Type,0.0
OB_Type,0.0
