Year,Starting_Value,Final_Value,Total_Return_%,Winrate_%,Wins,Total_Trades,Sharpe_Ratio
2015,10000.0,10309.000122070312,3.0432218961342,62.5,5,8,
2016,10000.0,10637.800170898438,6.182861868813811,100.0,13,13,
2017,10000.0,10320.400024414062,3.1537428363768147,100.0,7,7,
2018,10000.0,10233.400024414062,2.3071789953479795,72.72727272727273,8,11,
2019,10000.0,10466.499755859375,4.55945642324829,76.92307692307693,10,13,
2020,10000.0,10982.000244140625,9.367249809361509,94.11764705882352,16,17,
